Product_ID,Product_Name,Category,Quantity_kg,Price_per_kg,Discounted_Price,Supplier_Type,Quality_Score,Shelf_Life_Days,Status,Upload_Date,Expiry_Date,Quality_Score_Num,Discount_Rate,Price_per_kg_num,Discounted_Price_num
1001,Apples,Fruit,57,36 INR,10 INR,Local Factory,5/10,2,Available,,,5.0,26.0,36.0,10.0
1002,Beef,Meat,148,98 INR,25 INR,Retailer,7/10,8,Available,,,7.0,73.0,98.0,25.0
1003,Fish,Meat,414,40 INR,36 INR,Retailer,8/10,10,Available,,,8.0,4.0,40.0,36.0
1004,Cheese,Dairy,235,24 INR,3 INR,Farmer,6/10,9,Available,,,6.0,21.0,24.0,3.0
1005,Bananas,Fruit,170,45 INR,38 INR,Retailer,5/10,2,Available,,,5.0,7.0,45.0,38.0
1006,Barley,Grain,387,71 INR,11 INR,Farmer,9/10,10,Available,,,9.0,60.0,71.0,11.0
1007,Wheat,Grain,28,19 INR,10 INR,Farmer,5/10,9,Available,,,5.0,9.0,19.0,10.0
1008,Butter,Dairy,175,17 INR,8 INR,Farmer,10/10,5,Sold Out,,,10.0,9.0,17.0,8.0
1009,Cheese,Dairy,468,25 INR,7 INR,Local Factory,7/10,2,Sold Out,,,7.0,18.0,25.0,7.0
1010,Oats,Grain,205,32 INR,19 INR,Farmer,9/10,1,Sold Out,,,9.0,13.0,32.0,19.0
1011,Beef,Meat,298,59 INR,39 INR,Local Factory,7/10,8,Available,,,7.0,20.0,59.0,39.0
1012,Grapes,Fruit,317,81 INR,6 INR,Retailer,10/10,1,Sold Out,,,10.0,75.0,81.0,6.0
1013,Mangoes,Fruit,336,34 INR,6 INR,Farmer,6/10,8,Available,,,6.0,28.0,34.0,6.0
1014,Pork,Meat,492,77 INR,70 INR,Distributor,10/10,3,Sold Out,,,10.0,7.0,77.0,70.0
1015,Oranges,Fruit,357,54 INR,26 INR,Local Factory,7/10,3,Available,,,7.0,28.0,54.0,26.0
1016,Grapes,Fruit,99,50 INR,40 INR,Farmer,7/10,2,Sold Out,,,7.0,10.0,50.0,40.0
